Retention Priority,customers,avg_churn_probability,avg_cltv,total_cltv,expected_cltv_at_risk,actual_churners,actual_churn_rate
Critical,47,0.7323000463554789,5531.574468085107,259984,190378.51590658756,32,0.6808510638297872
High,135,0.5510752621760471,5205.1407407407405,702694,376402.3037997056,75,0.5555555555555556
Medium,209,0.5992241053850261,3692.8755980861242,771811,437625.9885116661,122,0.583732057416268
Low,1018,0.13651236543777345,4365.511787819253,4444091,528516.9962854115,145,0.14243614931237722
